41.0.0.0 255.224.0.0
168.253.64.0 255.255.240.0
168.253.80.0 255.255.240.0
168.253.120.0 255.255.248.0
168.253.192.0 255.255.240.0
168.253.216.0 255.255.248.0
169.0.0.0 255.254.0.0
169.129.0.0 255.255.0.0
169.159.128.0 255.255.192.0
169.159.192.0 255.255.240.0
169.159.224.0 255.255.224.0
169.202.0.0 255.255.0.0
169.239.4.0 255.255.252.0
169.239.8.0 255.255.252.0
169.239.28.0 255.255.252.0
169.239.44.0 255.255.252.0
169.239.60.0 255.255.252.0
169.239.68.0 255.255.252.0
169.239.80.0 255.255.252.0
169.239.84.0 255.255.252.0
169.239.124.0 255.255.252.0
169.239.164.0 255.255.252.0
169.239.176.0 255.255.252.0
169.239.180.0 255.255.252.0
169.239.184.0 255.255.252.0
169.239.208.0 255.255.252.0
169.239.216.0 255.255.252.0
169.239.220.0 255.255.252.0
169.239.224.0 255.255.252.0
169.239.228.0 255.255.252.0
169.239.240.0 255.255.252.0
169.255.0.0 255.255.252.0
169.255.12.0 255.255.252.0
169.255.20.0 255.255.252.0
169.255.28.0 255.255.252.0
169.255.32.0 255.255.252.0
169.255.36.0 255.255.252.0
169.255.44.0 255.255.252.0
169.255.56.0 255.255.252.0
169.255.60.0 255.255.252.0
169.255.76.0 255.255.252.0
169.255.116.0 255.255.252.0
169.255.128.0 255.255.252.0
169.255.144.0 255.255.252.0
169.255.164.0 255.255.252.0
169.255.168.0 255.255.252.0
169.255.172.0 255.255.252.0
169.255.192.0 255.255.252.0
169.255.196.0 255.255.252.0
169.255.216.0 255.255.252.0
169.255.220.0 255.255.252.0
169.255.228.0 255.255.252.0
169.255.232.0 255.255.252.0
169.255.240.0 255.255.252.0
169.255.244.0 255.255.252.0
169.255.248.0 255.255.252.0
169.255.252.0 255.255.252.0
192.33.10.0 255.255.255.0
192.42.99.0 255.255.255.0
192.48.253.0 255.255.255.0
192.70.200.0 255.255.255.0
192.70.237.0 255.255.255.0
192.82.142.0 255.255.255.0
192.83.208.0 255.255.252.0
192.84.244.0 255.255.255.0
